Enable,Name,Birthyear,Image,Party,Location,Is_running,Description,Education,Health,Immigration,Environment,Gun_Control
TRUE,Amy Klobuchar,1960,img/runners/klobuchar.jpg,Democrat,"-93.258133, 44.986656",TRUE,"Minneapolis, Minnesota. Current senator for Minnesota. ","<p>As a senator, Klobuchar has focused on expanding opportunities in higher education, especially in community colleges and vocational schools. Her presidential platform includes tuition-free associate degrees from one- or two year community colleges.</p>","<p>If elected president, Klobuchar plans to cut healthcare costs by: allowing people to buy into affordable insurance through Medicare or Medicaid, protecting low premiums, passing laws allowing drug price negotiation, regulating pharmaceutical companies and implementing mental health and addiction treatment programs.</p>","<p>Klobuchar&rsquo;s plan includes supporting the Dream Act and maintaining border security. She wants to develop a more <a href=""https://www.klobuchar.senate.gov/public/2013/6/klobuchar-bipartisan-immigration-reform-bill-passes-senate"">efficient path to citizenship for many undocumented immigrants</a> and increase levels of legal immigration.</p>","<p>As part of her &lsquo;100 Days Plan,&rsquo; Klobuchar would pass legislation requiring a net emissions-free economy no later than 2050. She also plans to restore the fuel economy standards in the automobile industry from before the Trump Administration.&nbsp;</p>","<p>Klobuchar wants to implement gun control measures such as background checks, closing various legal loopholes and extending a ban on assault weapons. Much of these changes are included in her &lsquo;100 Day&rsquo; plan, including establishing gun violence as a national health problem.</p>"
TRUE,Andrew Yang,1975,img/runners/yang.jpg,Democrat,"-73.935242, 40.730610",TRUE,"New York. Former CEO of Manhattan Prep (education company), founder of Venture for America. The stand-out priority on Yang’s platform is what he calls the “Freedom Dividend” — a universal basic income of $1,000 a month for all American adults, “no strings attached,” paid for with a tax on companies benefiting from automation.","<p>Yang wants to reduce the cost of higher education, including making community college at least nearly tuition-free. He plans to develop vocational programs and wants to invest in a more affordable early childhood care system.</p>","<p>Yang is a proponent of Medicare for All. He believes healthcare should be accessible to all, regardless of employment status. Noting mounting rates of suicide, depression and anxiety, he wants to expand mental health resources and destigmatize getting help.</p>","<p>Yang <a href=""https://www.yang2020.com/policies/pathway-to-citizenship-2/"">aims to create </a>a way for law-abiding undocumented immigrants to become citizens within their first 18 years in the US. His goal is to create a system that &ldquo;reflects the fact that they entered the country illegally.&rdquo; He wants to work with experts and immigration advocates to improve security at the Southern Border, supports the Dream Act and wants to expand skill-based visa programs to attract dedicated students from around the world.</p>","<p>To combat climate change, Yang plans to implement fees on fossil fuel emissions, invest in technology to reverse pollution, and focus on modernizing infrastructure nationwide. He also wants to protect waterways and national parks to preserve national resources in their &ldquo;pristine condition.&rdquo;</p>","<p>Yang has advocated for a stricter renewable gun licensing process, which includes a thorough background check and safety classes. Yang&rsquo;s gun safety platform includes explicit mental health resources including &ldquo;mindfulness programs in schools and correctional facilities&rdquo; designed to reduce violent behavior.</p>"
TRUE,Bernie Sanders,1941,img/runners/sanders.jpg,Democrat,"-73.212074, 44.475883",TRUE,"Burlington, Vermont. Former mayor of Burlington and congressman from Vermont, current senator from Vermont. ","<p>Sanders plans to pass the College for All Act, which would invest $48 billion dollars to create a tuition-free public university and community college system. If elected, he would both cancel the current $1.6 trillion dollars in student loan debt and require states to pay for the remaining costs of higher education to make college debt-free. He also wants to promote HBCUs and MSIs as well as support low-income and marginalized students in pursuing higher education.</p>","<p>Sanders proposed the Medicare for All plan in 2017 and 2019, legislation which has since become a political litmus test in the 2020 healthcare debate. His bill outlines a single-payer healthcare program that would eliminate private insurance companies. His platform also includes a plan to cut medication costs in half by aligning prices to those of five other countries and allowing inexpensive prescription drug imports for patients and medical providers.</p>","<p>Sanders wants to reverse Trump&rsquo;s current immigration policies (specifically family separation), reform the path towards citizenship to make it faster and easier, and expand DACA.</p>","<p>Sanders&rsquo; platform includes implementing the controversial Green New Deal, designed to address both the climate crisis and the workers who could lose their jobs because of decarbonization. He wants 100% renewable energy by 2030 and a decarbonized country by 2050, and plans to invest $16.3 trillion towards these efforts while creating 20 million jobs in the process. </p>","<p>In order to reduce gun violence in the United States, Sanders plans to end the sale of assault weapons to civilians. He plans to make the gun licensing process more rigid, such as developing more expansive background checks and cracking down on gun shows.</p>"
TRUE,Beto O’Rourke,1972,img/runners/orourke.jpg,Democrat,"-106.460953, 31.772543",TRUE,"El Paso, Texas. Represented Texas’ 16th congressional district, recently ran for senator against popular incumbent Ted Cruz. ","<p>O&rsquo;Rourke wants to increase teacher salaries to strengthen the pre-k through 12th grade public school system. He also plans to make community college completely free, implement loan-forgiveness programs and create a debt-free higher education option for lower- and middle-income students.</p>","<p>O&rsquo;Rourke wants to create universal, quality healthcare by lowering out of pocket costs and medication prices. He plans to make Medicare an option but not eliminate private insurance. </p>",<p>O&rsquo;Rourke wants to help create an earned pathway to citizenship for undocumented residents as well as immediately walk back Trump&rsquo;s family separation policy to reunite all separated families. He&rsquo;s also a strong proponent of asylum law.</p>,"<p>He plans on investing $5 trillion towards developing a climate-friendly economy and infrastructure, as well as taking immediate executive action towards preventing further pollution. O&rsquo;Rourke aims to have net-zero carbon emissions by the year 2050.</p>","<p>O&rsquo;Rourke&rsquo;s gun control platform explicitly calls for combatting white supremacist violence and hate crimes, forces behind the mass shooting in his hometown of El Paso, Texas. He wants to stop online radicalization and treat similar shootings as domestic terrorism. He also wants to stop selling automatic and military grade weapons, implement gun licenses that require background checks and assessment by law enforcement, and declare gun violence a public health emergency.</p>"
FALSE,Bill de Blasio,1961,img/runners/deblasio.jpg,Democrat,"-73.935242, 40.730610",FALSE,"New York City. Former campaign manager for Hillary Clinton, current mayor of New York City","<p>One main accomplishment during his tenure as mayor of NYC was implementing a <a href=""https://www.schools.nyc.gov/enrollment/enroll-grade-by-grade/pre-k"">program</a> that allowed all four-year-olds access to public pre-K. He also recently reached an <a href=""https://www1.nyc.gov/office-of-the-mayor/news/506-18/mayor-de-blasio-uft-reach-preliminary-agreement-43-month-contract-promoting-equity-#/0"">agreement</a> with the Union Federation of Teachers, granting a renewed contract to 129,000 educators.</p>","<p>In January 2019, Bill de Blasio <a href=""https://www1.nyc.gov/office-of-the-mayor/news/017-19/mayor-de-blasio-plan-guarantee-health-care-all-new-yorkers#/0"">announced</a> a citywide universal healthcare program that would provide coverage to over 600,000 New Yorkers. His plan would include mental health and addiction services, making it one of the most comprehensive municipal health care plans in the country.</p>","<p>De Blasio has <a href=""https://www.ny1.com/nyc/all-boroughs/inside-city-hall/2019/04/16/mondays-with-the-mayor-bill-de-blasio-de-blasio-defends-promise-to-provide-500-million-dollars-for-senior-housing#"">clashed</a> with Trump over NYC’s status as a sanctuary city, and previously <a href=""http://transcripts.cnn.com/TRANSCRIPTS/1701/29/sotu.01.html"">called</a> Trump’s Muslim ban “un-American.”  His universal healthcare plan also included undocumented immigrants, making him one of the few mayors to grant this demographic public insurance.</p>","<p>In the wake of Hurricane Sandy and the daunting UN Climate report, de Blasio has announced a <a href=""http://nymag.com/intelligencer/2019/03/bill-de-blasio-my-new-plan-to-climate-proof-lower-manhattan.html"">plan</a> to protect Manhattan against rising sea levels — including to expand the island by 500 feet along the lower coastline — which would cost up to $10 billion. He has also <a href=""https://www.reuters.com/article/us-usa-trump-climate/new-york-mayor-threatens-to-fine-trump-organization-over-pollution-idUSKCN1SJ22R"">warned</a> the Trump Organization that, if they don’t reduce their carbon emissions by 2030, they could be fined up to $2.1 million annually. However, he’s received criticism from progressive voters for <a href=""https://legistar.council.nyc.gov/LegislationDetail.aspx?ID=3761078&amp;GUID=B938F26C-E9B9-4B9F-B981-1BB2BB52A486&amp;Options=&amp;Search="">not yet signing</a> NYC’s version of the Green New Deal, a contentious issue in the 2020 race. 
</p>","<p>De Blasio is praised for his work in reducing the crime rate in NYC, especially around guns: in <a href=""https://www1.nyc.gov/site/peacenyc/index.page"">2016</a>, the city saw their lowest number of shootings in over 30 years. His current gun safety initiatives center around community law enforcement and organizations, as well as encouraging New Yorkers to promote gun control in their own neighborhoods.</p>"
TRUE,Cory Booker,1969,img/runners/booker.jpg,Democrat,"-74.172363, 40.735657",TRUE,"Newark, New Jersey. Former Mayor of Newark, current junior Senator from New Jersey. ","<p>Booker has <a href=""https://www.booker.senate.gov/?p=issue&amp;id=72"">expressed support for</a> affordable education from pre-K to college and wants universal early childhood education. He is a major proponent of student services and added an <a href=""https://www.booker.senate.gov/?p=press_release&amp;id=277"">amendment</a> to the No Child Left Behind bill that focuses on support for foster children and homeless youth.</p>","<p>Booker supports “quality, affordable and universal health care” and <a href=""https://www.booker.senate.gov/?p=press_release&amp;id=904"">co-sponsored</a> Bernie Sanders’ ‘Medicare for All” bill. <a href=""https://corybooker.com/issues/health-care/policy-page/"">His policy</a> includes implementing Medicare for All, but in the meantime would expand the income limits to ensure more lower- and middle-income seniors access to healthcare. To address the opioid crisis, Booker plans to “treat addiction like a disease.” He also has plans to lower prescription drug prices.
</p>","<p>In 2018, Booker <a href=""https://www.booker.senate.gov/?p=press_release&amp;id=803"">drafted legislation</a> in 2018 against the child separations and plans to continue to protect Dreamers. His policy plan includes ending ICE raids in schools and medical facilities, expanding legal immigration aid and addressing the primary reasons refugees migrate to the US, especially in Latin America, the Middle East, Africa and the Carribean. 
</p>","<p>Booker’s <a href=""https://corybooker.com/issues/climate-change-environmental-justice/"">climate policy</a> includes rejoining the Paris Climate Accord, signing the Green New Deal and emphasizing environmental justice by growing the EPA’s civil rights-centered programs. His plan focuses on major oil corporations and aims to ban fracking and crude oil export. Booker is one of the only candidates who includes <a href=""https://corybooker.com/issues/animal-welfare/"">animal rights</a> in his presidential platform. He plans to implement protections on endangered species and to restore millions of acres of wildlife ecosystems. 
</p>","<p>In 2017, Booker introduced a bill <a href=""https://www.booker.senate.gov/?p=press_release&amp;id=696"">banning</a> assault weapons. His <a href=""https://corybooker.com/issues/gun-violence/"">current platform</a> includes implementing universal background checks and gun licences, increasing regulations on major gun manufacturers and limiting gun purchases.</p>"
TRUE,Elizabeth Warren,1949,img/runners/warren.jpg,Democrat,"-71.382439, 42.407211",TRUE,"Cambridge, Massachusetts. Current senator from Massachusetts.","<p>Warren helped introduce a 2017 <a href=""https://www.sanders.senate.gov/newsroom/press-releases/college-for-all-act-introduced"">bill</a> that would make public US colleges mostly tuition free, and <a href=""https://medium.com/@teamwarren/im-calling-for-something-truly-transformational-universal-free-public-college-and-cancellation-of-a246cd0f910f"">detailed</a> her plan to make public higher education free and enact cancel loan debt for 95 percent of current debt holders. She also supports <a href=""https://medium.com/@teamwarren/my-plan-for-universal-child-care-762535e6c20a"">universal child care</a> and wants to partner with licensed care centers that would operate under federal standards. </p>","<p>During the July debates, Warren said she supports Medicare for all alongside Bernie Sanders. She says she wants to fight the current private insurance model that benefits from increasing copays and premiums as well as denying clients with important medical care. Single-payer healthcare, she says, will stop the insurance industry from controlling the cost of vital treatment. She&rsquo;s also backed a number of other policies that would cut healthcare costs, including <a href=""https://www.warren.senate.gov/newsroom/press-releases/warren-colleagues-unveil-legislation-to-hold-insurance-companies-accountable-and-strengthen-consumer-protections"">one that would limit insurer profits.</a></p>","<p>As part of her immigration platform, Warren plans to rebuild ICE and CBP <a href=""https://medium.com/@teamwarren/a-fair-and-welcoming-immigration-system-8fff69cd674e"">&ldquo;from top to bottom</a>,&rdquo; including focusing the organizations on transparency and the prevention of human rights abuses. She also plans to increase the refugee limit over five fold in her first year, streamline the asylum process and develop a clear path to citizenship.</p>","<p>Warren&rsquo;s climate change plan includes developing a net-zero emissions economy by 2030, adopting former candidate Jay Inslee&rsquo;s plan for clean energy. This includes investing 1.5 trillion in American-made renewable energy products to jumpstart a climate friendly economy at a state and federal level. In the past, she has advocated for a <a href=""https://www.warren.senate.gov/imo/media/doc/2018.09.14%20Climate%20Risk%20Disclosure%20Act%20Summary.pdf"">rule</a> requiring public companies to report emissions.</p>","<p>In 2019, Warren <a href=""https://www.feinstein.senate.gov/public/index.cfm/press-releases?ID=EFC76859-879D-4038-97DD-C577212ED17B"">cosponsored</a> a bill to ban assault weapons alongside many other high-profile Democratic senators. Her gun control plan will require states to report gun owners with multiple purchases, investigating the NRA and similar lobbyist organizations, instituting universal background checks, and implementing a federal license system. </p>"
FALSE,Eric Swalwell,1980,img/runners/swalwell.jpg,Democrat,"-121.935791, 37.702152",FALSE,"Dublin, California. Current congressman for California’s 15th congressional district, former prosecutor for Alameda County.","<p>Swalwell has introduced numerous pieces of<a href=""https://swalwell.house.gov/issues/education-and-student-loans""> legislation</a> that support debt-free college and no-interest student loans. Recently proposed a &ldquo;college bargain&rdquo; system, in which students would pay for school through a series of work-study programs.</p>","<p>Published <a href=""https://www.nbcnews.com/think/opinion/medicare-all-obvious-solution-health-care-system-still-drives-people-ncna977851"">op-ed</a> in support of Medicare-for-All, also <a href=""https://www.rollcall.com/news/congress/medicare-for-all-political-calculations"">co-sponsored a Medicare bill</a> in February 2019. Wants coverage for all, but doesn&rsquo;t want to get rid of private insurance.</p>","<p>In the past, Swalwell has shown support for<a href=""https://swalwell.house.gov/big-news-comprehensive-immigration-reform""> bipartisan immigration</a> measures and protecting &lsquo;Dreamers&rsquo;. More recently, he&rsquo;s been an open critic of Trump&rsquo;s immigration approach, saying it lacks &ldquo;compassion.&rdquo;</p>","<p>Recently <a href=""https://twitter.com/ericswalwell/status/1105997109159972865"">advocated</a> for AOC&rsquo;s Green New Deal in the House, and was vocal about his opposition to Trump pulling out of Paris Agreement.</p>","<p>Has co-sponsored a number of<a href=""https://www.congress.gov/bill/116th-congress/house-bill/1287""> gun-related bills</a>, and supports<a href=""https://www.usatoday.com/story/opinion/2018/05/03/ban-assault-weapons-buy-them-back-prosecute-offenders-column/570590002/""> banning assault weapons</a> and starting a federal buy-back program. He also has tried to keep them away from people with histories of domestic assault. </p>"
FALSE,Jay Inslee,1951,img/runners/inslee.jpg,Democrat,"-122.335167, 47.608013",TRUE,"Seattle, Washington area. Former congressman from Washington’s 4th congressional district, current governor of Washington. ","<p>As governor,<a href=""https://www.governor.wa.gov/issues/issues/education""> Inslee has advocated for</a> early childhood education, school health and safety, and more concrete paths for graduates to enter the workforce. His most recent <a href=""https://www.governor.wa.gov/issues/issues/budget"">budget</a> has dedicated funding towards teachers and school counselors. </p>","<p>In the 2019 legislative session, Inslee signed a law that <a href=""http://time.com/5587835/washington-private-health-insurance/"">would make it the first state to offer a comprehensive public insurance plan by 2021</a>. The bill is a combination of a private and public healthcare system, and would provide insurance to all Washingtonians.</p>","<p>Inslee has condemned Trump for his &ldquo;<a href=""https://www.politico.com/story/2019/04/14/jay-inslee-trump-immigration-1274061"">bombastic</a>&rdquo; immigration policy, and thinks that addressing pollution will help decrease immigration into the US, which he <a href=""https://www.washingtonexaminer.com/news/2020-hopeful-gov-jay-inslee-on-trumps-sanctuary-cities-idea-washington-is-not-afraid"">attributes in part to climate change refugees</a>.</p>","<p>Climate change reversal is Inslee&rsquo;s flagship issue; he describes his campaign as &ldquo;<a href=""https://www.jayinslee.com/"">a new American climate change mission</a>.&rdquo; He co-authored a book in 2007 that advocated for a new economy based on clean energy, and has written <a href=""https://grist.org/article/inslee-apollo/"">legislation</a> to back up his proposals. <a href=""https://www.jayinslee.com/climate-mission"">He also created</a> the Clean Energy Fund and co-founded the US Climate Alliance. For 2020, his goal is <a href=""https://www.jayinslee.com/issues/100clean"">100 percent clean energy by 2030</a>, which involved reducing pollution from each part of the US economy. </p>","<p>In 1994, Inslee took a strong stance on gun control by backing legislation that would ban the manufacturing and sale of assault-style weapons, <a href=""https://www.cnbc.com/2019/02/08/gun-issue-could-give-wash-gov-inslee-lift-for-2020-presidential-run.html"">a position that made him unpopular in the 1995 elections</a>. He has maintained these attitudes about gun control during his tenure as governor, <a href=""https://www.governor.wa.gov/news-media/news-media/speeches/2019-state-state"">banning bump stocks and fixing background check loopholes</a>. </p>"
TRUE,Joe Biden,1942,img/runners/biden.jpg,Democrat,"-75.539787, 39.739071",TRUE,"Wilmington, Delaware. Former Senator from Delaware and Former Vice President of the United States.","<p>Biden proposes to increase teacher salaries and double the number of school psychologists, guidance counselors, nurses, social workers and other support staff. He also supports universal pre-kindergarten for all 3- and 4-year olds and vocational training for high school students.</p>","<p><span>As a former member of the Obama administration, Biden is a strong proponent of the Affordable Care Act. </span><a href=""https://joebiden.com/healthcare/""><span>On his website</span></a><span>, he outlines a plan to maintain the Affordable Care Act, expand coverage to low-income Americans and give Americans a “new choice,” a public health insurance plan option like Medicare. Biden's campaign site implies that he does not support single-payer health care.&nbsp;</span></p>","<p><span>Biden has been a vocal </span><a href=""https://www.cnn.com/videos/politics/2019/01/06/joe-biden-trump-wall-presidents-no-chance-sot-kaye-vpx.cnn""><span>critic</span></a><span> of the Trump Administration’s plan to build a wall and treatment of </span><a href=""https://www.facebook.com/joebiden/posts/10154648001036104""><span>DREAMers</span></a><span>. On his campaign website, he cites immigration as the way America </span><a href=""https://joebiden.com/joes-vision/"" style=""""><span>“has been able to constantly renew and reinvent itself”</span></a><span> and says he wants to continue his work under Obama to address issues that sparked the recent waves of immigration.&nbsp;</span><br></p>","<span>Biden has received a lifetime score of 83% from the </span><a href=""http://scorecard.lcv.org/moc/joe-biden"" style=""""><span>League of Conservation Voters</span></a><span>, one of the worst scores for the Democratic contenders. He’s also received criticism from notable progressives such as </span><a href=""https://abcnews.go.com/Politics/ocasio-cortez-ramps-attacks-bidens-reported-middle-ground/story?id=63024980"" style=""""><span>Alexandria Ocasio Cortez </span></a><span>who have scrutinized his climate control approach as too “middle-of-the-road.” </span><a href=""https://joebiden.com/climate/"" style=""""><span>Biden’s current plan</span></a><span> is more progressive, however, and includes a goal to be net emission-free by 2050, infrastructure investments, and environmental justice initiatives to take down major polluters that disproportionately harm low-income and communities of color.</span></p>","<p>Biden voted for a <a href=""https://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=103&amp;session=1&amp;vote=00375"">bill</a> that would restrict semiautomatic weapon ownership in 1993 and <a href=""https://obamawhitehouse.archives.gov/blog/2016/06/20/email-vice-president-biden-assault-weapon-ban"">expressed support</a> for an assault weapon ban after the 2015 Pulse nightclub shooting in Orlando. On his website, he <a href=""https://joebiden.com/education/"">promises</a> to fight back against the National Rifle Association (NRA) and push for legislation to ban assault weapons and high-capacity magazines.
</p>"
FALSE,Joe Sestak,1951,img/runners/sestak.jpg,Democrat,"-75.448792, 39.978931",FALSE,"Delaware County, Pennsylvania. Former navy admiral, congressman for Pennsylvania’s 7th congressional district, and professor.  
","<p>Sestak plans to implement a public pre-K system for children ages 4 and up and incentivize universities to keep tuition low with federal loans. Instead of relying on standardized tests, he also wants to assess school performance by a national Common Core Standard, which would provide educational benchmarks for each grade level that all students should meet.</p>","<p>Sestak says he wants to implement a universal healthcare system, and is considering two options: Medicare for All and a system modeled after the Veterans Health Administration, where medical services would be directly provided by the government. He also aims to focus on mental health care and lower drug prices by allowing public healthcare to negotiate directly with pharmaceutical companies.</p>","<p>Sestak wants to create a strict path to citizenship for undocumented residents in the US and end Trump&rsquo;s family separation policy. He also wants to increase visa caps, especially for STEM students and skilled workers.</p>","<p>Sestak aims to reduce carbon emissions to net-zero by 2050 and wants to implement a tax on each ton of carbon emitted by major corporations. He also wants to rejoin the Paris Climate accord and says he will fight to protect forests and other natural habitats, especially National Monuments.</p>","<p>On his campaign website, Sestak says he wants to focus on securing universal background checks and tightening loopholes, including ones that permit the sale of easily-assembled firearm parts without a background check. He also wants to allow the CDC to treat gun violence as a public health risk and make recommendations on how to decrease fatalities. </p>"
